material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP
mp-22942,BaBiO3,Ba,Bi,O,C2/m,7.23339999995076E-05,-29.75298187,7.58164112741181
mp-23482,BaBiO3,Ba,Bi,O,R-3,0.00141004299999992,-29.746607215,7.59541668152737
mp-1182285,BaBiO3,Ba,Bi,O,P1,0.643198813,-27.181285515,6.30410336359455
mp-27365,BaBiSe3,Ba,Bi,Se,P2_12_12_1,0,-21.4537887575,6.16907214316043
mp-1214407,BaBO3,Ba,B,O,Pm-3m,1.25370796766667,-29.24297028,6.05947530868053
mp-1183285,BaCaO3,Ba,Ca,O,Pm-3m,0.344531054000001,-28.08548312,4.20641692987227
mp-1183292,BaCdO3,Ba,Cd,O,Pm-3m,0.202881038000002,-23.81848733,6.20680671299404
mp-4900,BaCeO3,Ba,Ce,O,R-3c,0.00279533800000031,-38.56877309,6.15259269946854
mp-3316,BaCeO3,Ba,Ce,O,Imma,0.00118277500000197,-38.57639714,6.15641475750134
mp-3187,BaCeO3,Ba,Ce,O,Pnma,0,-38.583077205,6.16034625039506
mp-5663,BaCeO3,Ba,Ce,O,Pm-3m,0.0403338959999999,-38.3806772,6.03361524161451
mp-1080782,BaClO3,Ba,Cl,O,P4/nmm,0.916970865159998,-20.529686265,3.93445620861919
mp-1182237,BaClO3,Ba,Cl,O,P2_1/m,0.496639524159998,-24.14288619,3.62583925483107
mp-1182337,BaClO3,Ba,Cl,O,P1,0.531044515159998,-24.45151245,3.59917190174574
mp-2626703,BaCO3,Ba,C,O,Imm2,0.0438568360000007,-37.127452725,3.92537647609181
mp-675324,BaCO3,Ba,C,O,Pnn2,0.0758238020000004,-36.99817361,3.78499940537899
mp-674478,BaCO3,Ba,C,O,R-3c,0.0499068710000001,-37.082279345,3.69810765888416
mp-762225,BaCO3,Ba,C,O,P2_1,0.0132368339999998,-37.266533305,3.97322743685929
mp-1227982,BaCO3,Ba,C,O,R32,0.0490504610000002,-37.0845218,3.68483323231126
mp-4559,BaCO3,Ba,C,O,R3m,0.0218447350000002,-37.22348532,4.12502978709983
mp-5504,BaCO3,Ba,C,O,Pnma,0,-37.33270829,4.09974666609938
mp-676020,BaCO3,Ba,C,O,C2/m,0.0337659079999995,-37.16390817,3.91406702269917
mp-2506699,BaCO3,Ba,C,O,P2_1/m,0.00441738699999927,-37.32464997,3.9975409693915
mp-34195,BaCO3,Ba,C,O,P2_1/m,0.0353595899999997,-37.08949083,4.33083895906623
mp-545643,BaCO3,Ba,C,O,P6_3/mmc,0.104496795,-36.81023828,4.37536825047292
mp-18965,BaCoO3,Ba,Co,O,P6_3/mmc,0,-30.19612303,6.00178645615438
mp-1283250,BaCoO3,Ba,Co,O,C2/m,0.00105519500000106,-30.43128876,5.89119733719842
mp-1076782,BaCoO3,Ba,Co,O,Pm-3m,0.222225269000001,-29.31199893,6.42580974417061
mp-557081,BaCrO3,Ba,Cr,O,P6_3/mmc,0.0816520543392896,-38.0796135992857,6.03071540260561
