Name,Temp,FE
TiPbO3,620.0,-48.3638831
TiPbO3,630.0,-50.4690058
TiPbO3,640.0,-52.5929272
TiPbO3,650.0,-54.7353819
TiPbO3,660.0,-56.8961114
TiPbO3,670.0,-59.0748639
TiPbO3,680.0,-61.2713942
TiPbO3,690.0,-63.4854633
TiPbO3,700.0,-65.7168384
TiPbO3,710.0,-67.9652923
TiPbO3,720.0,-70.2306037
TiPbO3,730.0,-72.5125565
TiPbO3,740.0,-74.8109399
TiPbO3,750.0,-77.1255484
TiPbO3,760.0,-79.4561809
TiPbO3,770.0,-81.8026416
TiPbO3,780.0,-84.1647389
TiPbO3,790.0,-86.5422856
TiPbO3,800.0,-88.935099
TiPbO3,810.0,-91.3430004
TiPbO3,820.0,-93.7658151
TiPbO3,830.0,-96.2033722
TiPbO3,840.0,-98.6555048
TiPbO3,850.0,-101.1220492
TiPbO3,860.0,-103.6028457
TiPbO3,870.0,-106.0977377
TiPbO3,880.0,-108.606572
TiPbO3,890.0,-111.1291985
TiPbO3,900.0,-113.6654704
TiPbO3,910.0,-116.2152438
TiPbO3,920.0,-118.7783777
TiPbO3,930.0,-121.354734
TiPbO3,940.0,-123.9441773
TiPbO3,950.0,-126.5465749
TiPbO3,960.0,-129.1617968
TiPbO3,970.0,-131.7897153
TiPbO3,980.0,-134.4302053
TiPbO3,990.0,-137.0831442
TiPbO3,1000.0,-139.7484114
CsIO3,0.0,22.74215935
CsIO3,10.0,22.74016195
CsIO3,20.0,22.7048535
CsIO3,30.0,22.58693555
CsIO3,40.0,22.36560385
CsIO3,50.0,22.0386768
CsIO3,60.0,21.61073835
CsIO3,70.0,21.0881421
CsIO3,80.0,20.47719665
CsIO3,90.0,19.78364055
CsIO3,100.0,19.0125736
CsIO3,110.0,18.1685179
CsIO3,120.0,17.2554976
CsIO3,130.0,16.2771097
CsIO3,140.0,15.236582
CsIO3,150.0,14.13682165
CsIO3,160.0,12.98045585
CsIO3,170.0,11.7698676
CsIO3,180.0,10.5072264
CsIO3,190.0,9.1945154
CsIO3,200.0,7.8335549
CsIO3,210.0,6.4260224
CsIO3,220.0,4.9734705
CsIO3,230.0,3.4773413
