material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1253258,AlCuO3,Hexagonal,P6_3cm,185,30,289.827390141215,4.7620219861796,4.75314853507947,-182.86147874,-6.09538262466667,Al,Cu,O,0.200237262212116,,,
mp-1178579,AlCuO3,Trigonal,R-3,148,10,93.9211784595088,4.89830737748012,4.89943629631307,-61.42922385,-6.142922385,Al,Cu,O,0.14355884054545,,,
mp-1178577,AlFeO3,Trigonal,R-3,148,20,193.125209736042,4.49945586327027,4.49945571149891,-70.78369597,-7.078369597,Al,Fe,O,0.0325528524999914,,,
mp-1254277,AlFeO3,Orthorhombic,Pnma,62,20,179.403601412595,4.84359483561141,4.46357018331295,-135.4507619,-6.772538095,Al,Fe,O,0.280233170999993,,,
mp-1259818,AlFeO3,Monoclinic,P2_1/c,14,20,197.908728112373,4.39070255051478,4.39070281773228,-137.57639215,-6.8788196075,Al,Fe,O,0.210626288499993,,,
mp-776154,AlFeO3,Orthorhombic,Pnma,62,20,182.983912439465,4.74882379389283,4.70747469606122,-148.42487925,-7.4212439625,Al,Fe,O,0.0803160834999925,,,
mp-1421498,AlFeO3,Cubic,Pm-3m,221,5,54.9163282915012,3.95582873221065,3.95582873221065,-28.55511102,-5.711022204,Al,Fe,O,1.40429498749999,,,
mp-1398131,AlFeO3,Hexagonal,P6_3/mmc,194,10,105.278282760376,4.12695920995393,4.12695920995393,-62.41436439,-6.241436439,Al,Fe,O,0.265544550499992,,,
mp-21216,AlFeO3,Orthorhombic,Pna2_1,33,40,410.041045149814,4.23839694865008,4.23475134314416,-298.12399293,-7.45309982325,Al,Fe,O,0.0439558349999922,178.338568360045,178.013094952763,178.175831656404
mp-1264966,AlFeO3,Triclinic,P-1,2,20,197.558695090921,4.3984819645231,4.39848189406428,-137.58539199,-6.8792695995,Al,Fe,O,0.236047591999992,,,
mp-756686,AlGaO3,Orthorhombic,Pnma,62,20,182.422401772819,5.26875094624723,5.26875060486634,-133.01149829,-6.6505749145,Al,Ga,O,0.107533476999999,,,
mp-772187,AlGaO3,Orthorhombic,Pna2_1,33,40,394.628227809997,4.87110720533653,4.87110740122886,-269.18789326,-6.7296973315,Al,Ga,O,0.0287432352499994,,,
mp-772898,AlGaO3,Orthorhombic,Pna2_1,33,40,399.149558977076,4.81593017123906,4.81593018792068,-269.2196553,-6.7304913825,Al,Ga,O,0.0276705999999995,,,
mp-1178550,AlInO3,Orthorhombic,Pnma,62,20,202.9318362183,6.21226448389498,6.21226477449055,-130.0900272,-6.50450136,Al,In,O,0.0630337659999958,,,
mp-1183160,AlInO3,Cubic,Pm-3m,221,5,51.2582614436839,6.14860026112864,6.14859936813073,-30.49931541,-6.099863082,Al,In,O,0.467804547499997,,,
mp-754157,AlInO3,Hexagonal,P6_3/mmc,194,10,112.284476540409,5.61371561605332,5.61381545477363,-65.32906714,-6.532906714,Al,In,O,0.0346600674999964,184.266701249737,184.225180226072,184.245940737904
mp-504482,AlInS3,Hexagonal,P6_1,169,30,713.388452870635,3.32384882928073,3.24313544538805,-137.89377581,-4.59645919366667,Al,In,S,0,,,
mp-862787,AlInSe3,Hexagonal,P6_1,169,30,815.538750272251,4.62623389035123,4.5334506686425,-122.70831051,-4.090277017,Al,In,Se,0,,,
mp-1183133,AlIrO3,Cubic,Pm-3m,221,5,49.1923229250551,9.01950947893586,9.01951132834798,-31.36678402,-6.273356804,Al,Ir,O,1.08264807004545,,,
mp-1246835,AlMoN3,Triclinic,P-1,2,20,297.448373911021,3.68322113855295,3.68322107955182,-167.11865359,-8.3559326795,Al,Mo,N,0.203797401733334,,,
mp-1433892,AlMoO3,Cubic,Pm-3m,221,5,64.3713238263705,4.40908911495914,4.40908911495914,-31.1880985,-6.2376197,Al,Mo,O,1.21977742975,,,
mp-1389151,AlMoO3,Hexagonal,P6_3/mmc,194,10,114.377313977112,4.96285309261861,4.96285309261861,-66.78225216,-6.678225216,Al,Mo,O,0.580191703750002,,,
mp-1248370,AlMoO3,Hexagonal,P6_3cm,185,30,320.8516001512,5.3074799015734,5.30938787182986,-209.79878526,-6.993292842,Al,Mo,O,0.463632203750001,,,
mp-1373731,AlMoO3,Orthorhombic,Pnma,62,20,222.552713371212,5.10115376980297,5.10115376980297,-142.92578452,-7.146289226,Al,Mo,O,0.176259155250001,,,
mp-1416557,AlNiO3,Cubic,Pm-3m,221,5,49.0087695708966,4.529178568322,4.529178568322,-24.24002608,-4.848005216,Al,Ni,O,1.36156986597727,,,
mp-1400395,AlNiO3,Hexagonal,P6_3/mmc,194,10,93.4651059583781,4.74978263864985,4.74978263864985,-57.89163836,-5.789163836,Al,Ni,O,0.420411245977272,,,
mp-1333178,AlNiO3,Hexagonal,P6_3cm,185,30,279.636512067545,4.76267137991023,4.76267137991023,-173.99074438,-5.79969147933333,Al,Ni,O,0.40988360264394,,,
mp-1376903,AlNiO3,Orthorhombic,Pnma,62,20,178.301486224649,4.9796437147062,4.97964360968413,-116.49232237,-5.8246161185,Al,Ni,O,0.242979411477274,,,
mp-1183176,AlNiO3,Cubic,Pm-3m,221,5,48.9420669417644,4.53535133823537,4.53534977771523,-26.61162424,-5.322324848,Al,Ni,O,0.869599869977272,,,
mp-1183154,AlPbO3,Cubic,Pm-3m,221,5,56.3792677148114,8.31104231645027,8.31104133801127,-31.1949079,-6.23898158,Al,Pb,O,0.256270870590908,,,
mp-776116,AlPdO3,Monoclinic,C2/c,15,20,229.89356275877,5.24105762687064,5.24105683237379,-125.46022977,-6.2730114885,Al,Pd,O,0.193575573272732,,,
