nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,symprec,version,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
15.0,3.0,CsNiF3,253.07704732558184,4.893373245908569,Trigonal,R-3m,166.0,-3m,0.1,1.16.2,mp-505492,-5.083441507333333,-2.60144631641954,,,['icsd-410393']
10.0,3.0,CsNiCl3,267.332248416491,3.7015411063265193,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-22950,-4.021991390999999,-1.5777615845862065,9.969915773331557,3.479726076666664,"['icsd-60262', 'icsd-423828', 'icsd-59371']"
10.0,3.0,CsNiBr3,310.32491166107127,4.615862230298165,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-1080570,-3.6158858240000002,-1.3489610155862066,9.912305011182621,3.874171008932754,['icsd-423829']
30.0,3.0,CsCuCl3,835.3747005276382,3.611518889694559,Hexagonal,P6_122,178.0,622,0.1,1.16.2,mp-23032,-3.5974058523333334,-1.4893620479195406,8.98192469670307,3.6629509566666663,
10.0,3.0,CsCuCl3,278.1043517809719,3.6161144687931057,Hexagonal,P6_3/mmc,194.0,6/mmm,0.1,1.16.2,mp-675287,-3.54818371,-1.4401399055862067,,,
10.0,3.0,CsCuCl3,301.3253520050113,3.3374462640394604,Monoclinic,C2/c,15.0,2/m,0.1,1.16.2,mp-2456411,-3.594660516,-1.4866167115862066,,,
10.0,3.0,CsCuCl3,279.17535054153336,3.6022419900566653,Hexagonal,P6_3mc,186.0,6mm,0.1,1.16.2,mp-567366,-3.56486152,-1.456817715586207,,,['icsd-2064']
20.0,3.0,CsCuBr3,627.3825242091172,4.617702427819935,Orthorhombic,C222_1,20.0,222,0.1,1.16.2,mp-27336,-3.2331064135,-1.3023676070862067,15.938755650000003,6.81678953,['icsd-10184']
20.0,3.0,CsGaS3,596.6264354825277,3.3267584966791,Monoclinic,P2_1/c,14.0,2/m,0.1,1.16.2,mp-562726,-4.4019206969999995,-1.1353510979612067,,,['icsd-281723']
20.0,3.0,CsGaSe3,668.8176749754033,4.36484250813304,Monoclinic,P2_1/c,14.0,2/m,0.1,1.16.2,mp-510283,-3.9549631805000005,-1.0727166149924572,,,['icsd-98670']
5.0,3.0,CsGeO3,67.14881807585644,6.269941171455406,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-984051,-5.3570846340000005,-1.2853853618362074,,,
5.0,3.0,CsGeCl3,162.92527551742106,3.17893909205653,Trigonal,R3m,160.0,3m,0.1,1.16.2,mp-22988,-3.92553261,-1.7127245685862065,13.315891726699382,3.642229833333333,"['icsd-62557', 'icsd-75215', 'icsd-23121']"
5.0,3.0,CsGeBr3,191.7415934285745,3.8560615897360915,Monoclinic,Cm,8.0,m,0.1,1.16.2,mp-642739,-3.53446659,-1.4989635465862072,15.38208048,4.477748746666667,
5.0,3.0,CsGeBr3,182.0146934299267,4.062130257958362,Trigonal,R3m,160.0,3m,0.1,1.16.2,mp-1068340,-3.5350909800000005,-1.4995879365862073,,,"['icsd-80319', 'icsd-62558', 'icsd-80318', 'icsd-80317']"
5.0,3.0,CsGeBr3,169.417801492696,4.364165908542947,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-570223,-3.522575448,-1.487072404586207,11.073192920000002,6.5499082000000035,['icsd-80320']
