nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
40,3,H3CS,549.45318456906,1.13874077245652,Monoclinic,P2_1/c,14,2/m,mp-559204,-4.940820294,-0.232161595125,,,['icsd-249028']
10,3,CSN3,259.186236209729,1.10318697058045,Triclinic,P-1,2,-1,mp-1214236,-7.475025042,0.199894984875,,,
40,3,H3CSe,665.126626361347,1.87731558257023,Orthorhombic,Fdd2,43,mm2,mp-1200055,-4.76533173175,-0.184780710718751,,,['icsd-249029']
20,3,NaClO3,358.59688417081,1.97156635295269,Monoclinic,P2_1/c,14,2/m,mp-630949,-4.1478600315,-0.545634414060345,,,['icsd-21014']
20,3,NaClO3,299.365410405325,2.36165410742545,Cubic,P2_13,198,23,mp-23330,-4.6858530225,-1.08362740506035,5.67812246,2.34491031,"['icsd-31121', 'icsd-16714', 'icsd-31167', 'icsd-80339', 'icsd-28830', 'icsd-26684', 'icsd-80337', 'icsd-80340', 'icsd-80341', 'icsd-80338', 'icsd-31168', 'icsd-1117', 'icsd-1301', 'icsd-22395']"
20,3,NaClO3,523.663583239065,1.35009875372999,Triclinic,P1,1,1,mp-1180278,-4.3076190715,-0.705393454060345,,,
20,3,NaClO3,297.468223778651,2.376716215682,Cubic,P2_13,198,23,mp-2720358,-4.690814744,-1.08858912656034,,,"['icsd-16714', 'icsd-31121', 'icsd-80338', 'icsd-80337', 'icsd-80340', 'icsd-80341', 'icsd-26684', 'icsd-1117', 'icsd-1301', 'icsd-28830', 'icsd-80339']"
20,3,NaClO3,379.502323231464,1.86295974444834,Cubic,P2_13,198,23,mp-555726,-4.652248139,-1.05002252156035,3.23308885333333,2.0018889,['icsd-31056']
20,3,NaClO3,451.319306447457,1.56651297873771,Trigonal,R3,146,3,mp-1180505,-4.0187766135,-0.416550996060345,,,
20,3,NaClO3,388.610690384052,1.81929516762943,Triclinic,P1,1,1,mp-655586,-4.2101978265,-0.607972209060345,,,
20,3,NaBrO3,292.775320481373,3.42326681652921,Cubic,P2_13,198,23,mp-23339,-4.563571542,-1.02044759056034,6.25394797333333,2.73314655,"['icsd-1302', 'icsd-47174', 'icsd-30208', 'icsd-28831']"
20,3,NaBrO3,437.189795585208,2.29247811688059,Triclinic,P1,1,1,mp-1180213,-3.863560895,-0.320436943560345,,,
20,3,NaBrO3,431.454315609815,2.32295286671549,Monoclinic,P2_1,4,2,mp-608595,-4.0650980855,-0.521974134060345,,,
20,3,NaBrO3,431.456867175602,2.32293912914979,Orthorhombic,P2_12_12_1,19,222,mp-1413617,-3.9543999575,-0.411276006060345,,,
20,3,NaBrO3,470.76134164194,2.12899393099465,Cubic,P2_13,198,23,mp-1189541,-4.431377761,-0.888253809560345,,,['icsd-22396']
20,3,NaIO3,355.251410802911,3.70000643393944,Orthorhombic,Pna2_1,33,mm2,mp-559252,-4.727220109,-1.20002855356035,,,['icsd-20168']
5,3,NaIO3,96.7548960160724,3.39629455396884,Orthorhombic,Cmmm,65,mmm,mp-545825,-3.82985387,-0.302662314560345,,,['icsd-33664']
20,3,NaIO3,291.518969625869,4.50890899938263,Orthorhombic,Pnma,62,mmm,mp-22989,-4.860507161,-1.33331560556035,30.3573998733333,3.26669752,"['icsd-202679', 'icsd-15564', 'icsd-29098']"
40,3,NaSeO3,686.91752035661,2.89984696640158,Monoclinic,C2/c,15,2/m,mp-1197679,-5.3135566525,-1.3818560715291,,,['icsd-32501']
40,3,NaSeO3,800.798690080181,2.48746122121499,Monoclinic,C2/c,15,2/m,mp-728664,-5.43349811975,-1.50179753877909,,,['icsd-22373']
