Coef_a,Coef_b,Coef_c,Coef_d,s_X,X_Z,X_M,X_G,X_IEI,X_IEII,X_EA,X_ChiP,X_ChiA,X_Rvdw,X_Rc,X_Ra,X_MP,X_BP,X_MV,X_Hf,X_Hv,X_Kappa,X_CvM,X_B,X_MendeleevNo
6.51415454651215E-08,-0.000220788164642317,0.0142647599414638,29.0342340001772,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.06379934232657E-08,-0.000251721721627435,0.008528191147674,23.954972374457,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.48675291626049E-08,-0.000220238553172426,0.0141331185288161,29.1276934712796,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
7.40122035827452E-08,-0.000238164067851399,0.00223952058025568,26.3705584814523,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
4.03804114191208E-08,-0.00016466019735495,0.0169534309328114,45.7357231795258,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.36399269711194E-08,-0.000214208262440367,0.00327389756911796,33.0520223888456,1.46,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,63.05,77.36,13.54,0.355,2.79,0.02583,1.04,2,100
6.61867860400526E-08,-0.000221877922247146,0.00882657351982297,29.0724431139432,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
7.5028862816059E-08,-0.00023937473865123,-0.0017620037512988,26.9643145807369,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
7.14007206577176E-08,-0.000233587975660897,0.0077548620403108,26.6088060195381,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
9.18423500069739E-08,-0.000270098652442555,-0.0447152536876522,24.0013656623184,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.48691027138969E-08,-0.000220901207171312,0.016973646463804,28.4659383076556,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.97285312024693E-08,-0.000205822344343838,0.00746129458442837,32.9844579025113,1.46,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,63.05,77.36,13.54,0.355,2.79,0.02583,1.04,2,100
