Coef_a,Coef_b,Coef_c,Coef_d,s_B,B_Z,B_M,B_G,B_IEI,B_IEII,B_EA,B_ChiP,B_Rvdw,B_Rc,B_Ra,B_MP,B_BP,B_Rho,B_MV,B_Hf,B_Hv,B_Kappa,B_CvM,B_B,B_MendeleevNo
7.27227545510157E-08,-0.000234996472504912,0.00489291117694764,26.2829399497208,0.76,83,208.9804,15,7.2855,16.703,91.2,2.02,2.07,148,1.6,544.4,1837,9780,21.31,11.106,160,8,0.122,2,87
9.37259555531543E-08,-0.00027804645216087,-0.00144284855214147,19.3501682644218,0.95,48,112.411,12,8.99382,16.90831,0,1.69,2.18,144,1.55,594.22,1040,8650,13,6.21,100,97,0.231,3,75
8.97048263201155E-08,-0.000270375969178916,0.00459105349118522,20.3470213978715,0.745,27,58.933195,9,7.88101,17.084,63.7,1.88,2,126,1.35,1768,3200,8900,6.67,16.2,375,100,0.421,3,64
7.7135432393253E-08,-0.000245861607029742,0.0160441899431824,23.9970598429806,0.72,12,24.305,2,7.646235,15.03527,0,1.31,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
9.35018208037061E-08,-0.000277473911077731,-0.00300138080839021,19.4975137600353,0.83,25,54.938045,7,7.43402,15.64,0,1.55,2.05,139,1.4,1519,2334,7470,7.35,12.91,220,7.8,0.479,3,60
6.55162995240048E-08,-0.000217966561013091,0.0119163171389488,28.6313585350269,0.64,41,92.90638,5,6.75885,14,86.1,1.6,2.18,164,1.45,2750,5017,8570,10.83,30,690,54,0.265,3,53
6.1053052070031E-08,-0.000211205795375791,0.0119821702506016,30.8614375963326,0.6,51,121.76,15,8.60839,16.63,103.2,2.05,2.06,139,1.45,903.78,1860,6697,18.19,19.79,68,24,0.207,2,88
1.30637707537444E-07,-0.000347385356340194,-0.0998120240888639,11.0763008467857,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
1.35678831804716E-07,-0.000356719516091003,-0.122676058838022,10.0522522619581,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
9.96997255592241E-08,-0.000288545669763118,-0.0138283372884081,18.7307195557255,0.895,83,208.9804,15,7.2855,16.703,91.2,2.02,2.07,148,1.6,544.4,1837,9780,21.31,11.106,160,8,0.122,2,87
8.73545372446485E-08,-0.000260832051323079,-0.0322977538175904,25.9627473843867,0.39,35,79.904,17,11.8138,21.591,324.6,2.96,1.85,120,1.15,265.8,332,3119,19.78,5.285,14.8,0.12,0.474,2,98
5.73160952314567E-08,-0.000197325290277691,-0.00824978845771751,41.2189144566355,1,20,40.078,2,6.11316,11.87172,2.37,1,2.31,176,1.8,1115,1757,1550,26.2,8.54,155,200,0.647,1,16
8.97568617460347E-08,-0.000266073470324279,-0.0320821466757422,24.6729546732876,0.95,53,126.90447,17,10.45126,19.1313,295.2,2.66,1.98,139,1.4,386.85,457.4,4940,25.72,7.76,20.9,0.449,0.214,2,97
8.70294955696452E-08,-0.000265072885130665,0.00552341935555799,21.2176887926348,0.72,12,24.305,2,7.646235,15.03527,0,1.31,1.73,141,1.5,923,1363,1738,14,8.48,128,160,1.023,1,73
1.35615984669588E-07,-0.000356784636508958,-0.0961337223132951,9.93530864028419,1.19,82,207.2,14,7.41663,15.03248,35.1,2.33,2.02,146,1.8,600.61,2022,11340,18.26,4.774,178,35,0.13,2,82
1.27846125166763E-07,-0.000342512564941389,-0.0665684630269555,11.4212682120076,1.19,82,207.2,14,7.41663,15.03248,35.1,2.33,2.02,146,1.8,600.61,2022,11340,18.26,4.774,178,35,0.13,2,82
6.51415454651215E-08,-0.000220788164642317,0.0142647599414638,29.0342340001772,0.58,75,186.207,7,7.83352,13,14.5,1.9,2.16,151,1.35,3459,5869,21020,8.86,34.08,705,48,0.137,3,58
8.06379934232657E-08,-0.000251721721627435,0.008528191147674,23.954972374457,0.6,51,121.76,15,8.60839,16.63,103.2,2.05,2.06,139,1.45,903.78,1860,6697,18.19,19.79,68,24,0.207,2,88
6.48675291626049E-08,-0.000220238553172426,0.0141331185288161,29.1276934712796,0.62,74,183.84,6,7.86403,16.1,78.6,2.36,2.18,162,1.35,3695,5828,19250,9.47,52.31,800,170,0.132,3,55
7.40122035827452E-08,-0.000238164067851399,0.00223952058025568,26.3705584814523,0.58,81,204.3833,13,6.108194,20.4283,19.2,1.62,1.96,145,1.9,577,1746,11850,17.22,4.142,165,46,0.129,2,78
4.03804114191208E-08,-0.00016466019735495,0.0169534309328114,45.7357231795258,0.27,5,10.811,13,8.29802,25.1548,26.7,2.04,1.92,84,0.85,2349,4200,2460,4.39,50.2,507,27,1.026,2,86
6.36399269711194E-08,-0.000214208262440367,0.00327389756911796,33.0520223888456,0.6,74,183.84,6,7.86403,16.1,78.6,2.36,2.18,162,1.35,3695,5828,19250,9.47,52.31,800,170,0.132,3,55
6.61867860400526E-08,-0.000221877922247146,0.00882657351982297,29.0724431139432,0.95,48,112.411,12,8.99382,16.90831,0,1.69,2.18,144,1.55,594.22,1040,8650,13,6.21,100,97,0.231,3,75
7.5028862816059E-08,-0.00023937473865123,-0.0017620037512988,26.9643145807369,1.19,82,207.2,14,7.41663,15.03248,35.1,2.33,2.02,146,1.8,600.61,2022,11340,18.26,4.774,178,35,0.13,2,82
7.14007206577176E-08,-0.000233587975660897,0.0077548620403108,26.6088060195381,0.49,24,51.9961,6,6.76651,16.4857,64.3,1.66,2.06,139,1.4,2180,2944,7140,7.23,21,339,94,0.449,3,57
9.18423500069739E-08,-0.000270098652442555,-0.0447152536876522,24.0013656623184,0.95,53,126.90447,17,10.45126,19.1313,295.2,2.66,1.98,139,1.4,386.85,457.4,4940,25.72,7.76,20.9,0.449,0.214,2,97
6.48691027138969E-08,-0.000220901207171312,0.016973646463804,28.4659383076556,0.64,23,50.9415,5,6.74619,14.618,50.6,1.63,2.07,153,1.35,2183,3680,6110,8.32,21.5,453,31,0.489,3,54
5.97285312024693E-08,-0.000205822344343838,0.00746129458442837,32.9844579025113,0.62,74,183.84,6,7.86403,16.1,78.6,2.36,2.18,162,1.35,3695,5828,19250,9.47,52.31,800,170,0.132,3,55
