Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
LiSbO3,141.0,1.52,8.0,3.4961644065054696,16.0,35.1211,3.1926834005084546,1.82,0.912,5.391719,51.0,19.79,1.45,3.089451115074972,1.0794126301253166,0.4444444444444444,59.6,0.8530985762737444,6697.0,-28.6500243625,0.98,0.207,903.78,139.0,0.8231448170735706,2.06,453.69,0.5314718262632276,85.0,17.36
LiTaO3,141.0,1.52,8.0,3.360581036880673,16.0,35.1211,3.2281480195889136,1.82,0.912,5.391719,73.0,36.57,1.45,3.0258264677090385,1.0026279661524462,0.474074074074074,59.6,0.9048598961042584,16650.0,-39.2605626516667,0.98,0.14,3290.0,170.0,0.8065991926097802,2.22,453.69,0.7216634800119651,85.0,17.36
MgCO3,141.0,1.52,8.0,3.394961332275484,16.0,35.1211,2.811486332255119,1.73,1.293,7.646235,6.0,117.4,0.7,3.072625550071916,0.8299173089002521,0.1185185185185185,0.0,0.9422511558926472,2267.0,-35.18296034000001,1.31,0.709,3800.0,76.0,1.0489531058661368,1.7,923.0,0.3335827551222915,160.0,17.36
MgSiO3,141.0,1.52,8.0,3.005706690789256,16.0,35.1211,3.431557678310463,1.73,1.293,7.646235,14.0,50.21,1.1,3.2078333674695934,1.112025420218815,0.2962962962962963,0.0,0.9126675942641856,2330.0,-33.9551852875,1.31,0.712,1687.0,111.0,0.905096679918781,2.1,923.0,0.9181100399704428,160.0,17.36
MgTiO3,141.0,1.52,8.0,3.4713798796114537,16.0,35.1211,3.2168014007997177,1.73,1.293,7.646235,22.0,14.15,1.4,3.0082604268407787,1.0106279871653252,0.4481481481481481,0.0,0.9063139130671924,4507.0,-36.9249649066667,1.31,0.524,1941.0,160.0,0.8101888439170672,2.11,923.0,0.7431253787431894,160.0,17.36
NaBiO3,141.0,1.52,8.0,3.9171581376967,16.0,35.1211,3.216158073018884,2.27,0.869,5.139076,83.0,11.106,1.6,3.4362402346442726,1.2368206279767944,0.5629629629629629,52.8,0.9975712939608736,9780.0,-25.218367471666703,0.93,0.122,544.4,148.0,0.9182334504507772,2.07,370.87,0.2750973864521161,140.0,17.36
NaCdF3,328.0,1.47,9.0,3.725843741655223,17.0,34.9708,3.155205960779308,2.27,0.869,5.139076,48.0,6.21,1.55,3.3260281900869457,1.0547803263134583,0.7392996108949417,52.8,1.0277883948315183,8650.0,-19.1581641333333,0.93,0.231,594.22,144.0,0.8463134853127582,2.18,370.87,0.1228383709017894,140.0,11.2
NaCoF3,328.0,1.47,9.0,3.334345693082476,17.0,34.9708,3.3175884343952986,2.27,0.869,5.139076,27.0,16.2,1.35,3.422467279708594,1.190863202232305,0.5797665369649806,52.8,0.9372366510973452,8900.0,-23.692840365,0.93,0.421,1768.0,126.0,0.9317786402335048,2.0,370.87,0.6660876500105787,140.0,11.2
NaMgF3,328.0,1.47,9.0,3.232982140205683,17.0,34.9708,3.474343942670854,2.27,0.869,5.139076,12.0,8.48,1.5,3.318361706911754,1.173711946168869,0.5603112840466926,52.8,0.9067448640114082,1738.0,-24.035219825,0.93,1.023,923.0,141.0,0.9433968277675884,1.73,370.87,0.856184618749419,140.0,11.2
NaMnF3,328.0,1.47,9.0,3.3241472728738906,17.0,34.9708,3.2917719454117136,2.27,0.869,5.139076,25.0,12.91,1.4,3.112538073558358,0.937897389245102,0.6459143968871596,52.8,0.8876872156204257,7470.0,-27.4931740175,0.93,0.479,1519.0,139.0,0.8943312717134821,2.05,370.87,0.5762253682909384,140.0,11.2
