Name,B_Ra,B_Rc,B_Rvdw,A_Rvdw,X_Rvdw,mean_A2X,mean_A2B,mean_X2X,std_A2X,std_A2B,std_B2X,X_G,X_EA,A_EA,B_CvM,A_ChiA,A_MP,B_MP
KMgH3,1.5,141.0,1.73,2.75,1.1,2.8429422077045667,3.48187888854885,2.8429422077045667,0.0,0.0,0.0,1.0,72.8,48.4,1.023,0.734,336.53,923.0
KNbO3,1.45,164.0,2.18,2.75,1.52,2.875663140805176,3.4879817420507093,3.162866598613259,0.0788937248380693,0.0460159080242816,1.1075120114612125,16.0,141.0,48.4,0.265,0.734,336.53,2750.0
KSbO3,1.45,139.0,2.06,2.75,1.52,3.30471224726176,4.150302097901793,3.453384467199337,0.746552958177864,0.3967210839083221,0.0087238848579355,16.0,141.0,48.4,0.207,0.734,336.53,903.78
KTaO3,1.45,170.0,2.22,2.75,1.52,2.846874527185004,3.4866949766651887,2.846874527185004,0.0,0.0,0.0,16.0,141.0,48.4,0.14,0.734,336.53,3290.0
KZnF3,1.35,122.0,2.01,2.75,1.47,2.921703756921138,3.578341692014702,2.921703756921138,0.0,0.0,0.0,17.0,328.0,48.4,0.388,0.734,336.53,692.68
LaAlO3,1.25,121.0,1.84,2.43,1.52,3.448294513623481,3.304057586370329,3.5043673191221134,1.0001519111189976,0.0074478367153815,1.105863147878372,16.0,141.0,48.0,0.897,1.09,1193.0,933.47
LaCoN3,1.35,126.0,2.0,2.43,1.55,3.5290838301560306,3.5757179944759527,3.352581112796559,0.8002085851685942,0.5109263345408294,1.1776629142426704,15.0,7.0,48.0,0.421,1.09,1193.0,1768.0
LaCrO3,1.4,139.0,2.06,2.43,1.52,3.047806024159016,3.298780827902446,3.192650649348973,0.7760867950974663,0.0628487182749331,1.0431737865948136,16.0,141.0,48.0,0.449,1.09,1193.0,2180.0
LaScO3,1.6,170.0,2.15,2.43,1.52,3.1495408944869303,3.391348597184747,3.3121553764733545,0.8433638726681897,0.0576448554116429,1.013684903172241,16.0,141.0,48.0,0.568,1.09,1193.0,1814.0
LiAsO3,1.15,119.0,1.85,1.82,1.52,3.046258891706612,3.460230809724888,3.2519339481274354,0.8937954510242856,0.3654717852093556,1.140658462428806,16.0,141.0,59.6,0.329,0.912,453.69,1090.0
LiNbO3,1.45,164.0,2.18,1.82,1.52,3.027997130982528,3.3710315275096003,3.2411002207515964,0.901741233350652,0.3557163807239379,1.015747781918622,16.0,141.0,59.6,0.265,0.912,453.69,2750.0
LiSbO3,1.45,139.0,2.06,1.82,1.52,3.089451115074972,3.4961644065054696,3.1926834005084546,0.8530985762737444,0.0020087221161498,1.0794126301253166,16.0,141.0,59.6,0.207,0.912,453.69,903.78
LiTaO3,1.45,170.0,2.22,1.82,1.52,3.0258264677090385,3.360581036880673,3.2281480195889136,0.9048598961042584,0.361931438665431,1.0026279661524462,16.0,141.0,59.6,0.14,0.912,453.69,3290.0
MgCO3,0.7,76.0,1.7,1.73,1.52,3.072625550071916,3.394961332275484,2.811486332255119,0.9422511558926472,0.4045296677299577,0.8299173089002521,16.0,141.0,0.0,0.709,1.293,923.0,3800.0
MgSiO3,1.1,111.0,2.1,1.73,1.52,3.2078333674695934,3.005706690789256,3.431557678310463,0.9126675942641856,0.0765455216722676,1.112025420218815,16.0,141.0,0.0,0.712,1.293,923.0,1687.0
MgTiO3,1.4,160.0,2.11,1.73,1.52,3.0082604268407787,3.4713798796114537,3.2168014007997177,0.9063139130671924,0.3337837495298387,1.0106279871653252,16.0,141.0,0.0,0.524,1.293,923.0,1941.0
NaBiO3,1.6,148.0,2.07,2.27,1.52,3.4362402346442726,3.9171581376967,3.216158073018884,0.9975712939608736,0.405122617430029,1.2368206279767944,16.0,141.0,52.8,0.122,0.869,370.87,544.4
NaCdF3,1.55,144.0,2.18,2.27,1.47,3.3260281900869457,3.725843741655223,3.155205960779308,1.0277883948315183,0.4726171910353078,1.0547803263134583,17.0,328.0,52.8,0.231,0.869,370.87,594.22
NaCoF3,1.35,126.0,2.0,2.27,1.47,3.422467279708594,3.334345693082476,3.3175884343952986,0.9372366510973452,0.1613684097149119,1.190863202232305,17.0,328.0,52.8,0.421,0.869,370.87,1768.0
NaMgF3,1.5,141.0,1.73,2.27,1.47,3.318361706911754,3.232982140205683,3.474343942670854,0.9067448640114082,0.1308514161734402,1.173711946168869,17.0,328.0,52.8,1.023,0.869,370.87,923.0
NaMnF3,1.4,139.0,2.05,2.27,1.47,3.112538073558358,3.3241472728738906,3.2917719454117136,0.8876872156204257,0.0610944747596873,0.937897389245102,17.0,328.0,52.8,0.479,0.869,370.87,1519.0
NaNbO3,1.45,164.0,2.18,2.27,1.52,3.1618334627972104,3.433826515288835,3.332376084426129,0.8520579337853992,0.1273979043699307,1.1101369296891566,16.0,141.0,52.8,0.265,0.869,370.87,2750.0
NaSbO3,1.45,139.0,2.06,2.27,1.52,3.363844917551716,3.803119416433269,3.141929357245988,0.947640515109058,0.3955082371558348,1.3019600318209936,16.0,141.0,52.8,0.207,0.869,370.87,903.78
RbAuBr3,1.35,136.0,2.14,3.03,1.85,3.7438106660223625,4.696130027432551,4.263065748726646,0.0938696516281955,0.170382954072121,0.4535217198737396,17.0,324.6,46.9,0.129,0.706,312.46,1337.33
RbAuI3,1.35,136.0,2.14,3.03,1.98,3.9678453245583154,4.984314841598948,4.355964045301409,0.1219658428181563,0.249126774456435,0.4725487065070124,17.0,295.2,46.9,0.129,0.706,312.46,1337.33
RbBiO3,1.6,148.0,2.07,3.03,1.52,3.0713382312828803,3.761605747072622,3.0713382312828803,0.0,0.0,0.0,16.0,141.0,46.9,0.122,0.706,312.46,544.4
RbBrO3,1.15,120.0,1.85,3.03,1.52,3.358804090786993,3.981858068074092,3.535709355458157,0.295209029519129,0.1112163104713013,1.251885455279057,16.0,141.0,46.9,0.474,0.706,312.46,265.8
RbCaH3,1.8,176.0,2.31,3.03,1.1,3.211145426781324,3.932833892742981,3.211145426781324,0.0,0.0,0.0,1.0,72.8,46.9,0.647,0.706,312.46,1115.0
RbIO3,1.4,139.0,1.98,3.03,1.52,3.316452273804241,3.990908433502199,3.52918066910888,0.182455220981886,0.0269829405296419,1.2455646419786033,16.0,141.0,46.9,0.214,0.706,312.46,386.85
RbMgF3,1.5,141.0,1.73,3.03,1.47,2.919926871310728,3.576165460476302,2.919926871310728,0.0,0.0,0.0,17.0,328.0,46.9,1.023,0.706,312.46,923.0
