Name,mean_A2B,X_EA,X_Z,X_IEII,X_Rvdw,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,std_A2X,A_ChiP,A_EA,B_Hf,std_B2X,X_G,B_MP,X_Kappa,A_MP,B_Kappa,B_Z,OF,A_Kappa,A_Z,B_Ra,B_Rho,A_CvM,X_MV,A_G,B_EA,A_B,std_X2X,B_CvM,B_ChiP,TF,std_A2B,X_IEI,B_IEI,B_MV
InGaO3,3.63106162830822,141.0,8.0,35.1211,1.52,3.5992668146287485,1.93,2.643705335252507,5.78636,-28.38383331,1.656,0.4153891582140835,1.78,28.9,5.585,1.267167593690299,16.0,302.91,0.02658,429.75,29.0,31.0,0.4592592592592592,82.0,49.0,1.3,5904.0,0.233,17.36,13.0,28.9,2.0,0.797759026058003,0.373,1.81,0.8147880169002348,0.0,13.61805,5.999301,11.8
KCaBr3,4.760687525931628,324.6,35.0,21.591,1.85,4.274974204427614,2.75,3.733854658762723,4.3406633,-17.07937964,0.734,0.4573374391358463,0.82,48.4,8.54,0.0186253987306681,17.0,1115.0,0.12,336.53,200.0,20.0,0.6836734693877552,100.0,19.0,1.8,1550.0,0.757,19.78,1.0,2.37,1.0,0.2708010474314588,0.647,1.0,0.77138921583987,0.1924624761925853,11.8138,6.11316,26.2
KMgF3,3.5101925239930547,328.0,9.0,34.9708,1.47,2.866060194238394,2.75,2.866060194238394,4.3406633,-24.16707869,0.734,0.0,0.82,48.4,8.48,0.0,17.0,923.0,0.0277,336.53,160.0,12.0,0.5603112840466926,100.0,19.0,1.5,1738.0,0.757,11.2,1.0,0.0,1.0,0.0,1.023,1.31,1.0315647555963348,0.0,17.4228,7.646235,14.0
KMgH3,3.48187888854885,72.8,1.0,,1.1,2.8429422077045667,2.75,2.8429422077045667,4.3406633,-13.65108557,0.734,0.0,0.82,48.4,8.48,0.0,1.0,923.0,0.1805,336.53,160.0,12.0,0.5538461538461538,100.0,19.0,1.5,1738.0,0.757,11.42,1.0,0.0,1.0,0.0,1.023,1.31,1.0291554142022028,0.0,13.598443,7.646235,14.0
KNbO3,3.4879817420507093,141.0,8.0,35.1211,1.52,3.162866598613259,2.75,2.875663140805176,4.3406633,-37.39370056999999,0.734,0.0788937248380693,0.82,48.4,30.0,1.1075120114612125,16.0,2750.0,0.02658,336.53,54.0,41.0,0.474074074074074,100.0,19.0,1.45,8570.0,0.757,17.36,1.0,86.1,1.0,0.5192636682359718,0.265,1.6,1.0624368219838074,0.0460159080242816,13.61805,6.75885,10.83
KSbO3,4.150302097901793,141.0,8.0,35.1211,1.52,3.453384467199337,2.75,3.30471224726176,4.3406633,-27.364688415,0.734,0.746552958177864,0.82,48.4,19.79,0.0087238848579355,16.0,903.78,0.02658,336.53,24.0,51.0,0.4444444444444444,100.0,19.0,1.45,6697.0,0.757,17.36,1.0,103.2,1.0,0.6993154717898551,0.207,2.05,1.0842303978193728,0.3967210839083221,13.61805,8.60839,18.19
KTaO3,3.4866949766651887,141.0,8.0,35.1211,1.52,2.846874527185004,2.75,2.846874527185004,4.3406633,-38.12573855,0.734,0.0,0.82,48.4,36.57,0.0,16.0,3290.0,0.02658,336.53,57.0,73.0,0.474074074074074,100.0,19.0,1.45,16650.0,0.757,17.36,1.0,31.0,1.0,0.0,0.14,1.5,1.0624368219838074,0.0,13.61805,7.54957,10.85
KZnF3,3.578341692014702,328.0,9.0,34.9708,1.47,2.921703756921138,2.75,2.921703756921138,4.3406633,-20.29370065,0.734,0.0,0.82,48.4,7.068,0.0,17.0,692.68,0.0277,336.53,120.0,30.0,0.575875486381323,100.0,19.0,1.35,7140.0,0.757,11.2,1.0,0.0,1.0,0.0,0.388,1.65,1.0213764617139018,0.0,17.4228,9.394199,9.16
LaAlO3,3.304057586370329,141.0,8.0,35.1211,1.52,3.5043673191221134,2.43,3.448294513623481,5.5769,-39.0343504716667,1.09,1.0001519111189976,1.1,48.0,10.71,1.105863147878372,16.0,933.47,0.02658,1193.0,235.0,13.0,0.3962962962962963,13.0,57.0,1.25,2700.0,0.195,17.36,3.0,42.5,4.0,0.8815192004864317,0.897,1.61,1.016583223880925,0.0074478367153815,13.61805,5.985768,10.0
LaCoN3,3.5757179944759527,7.0,7.0,29.6013,1.55,3.352581112796559,2.43,3.5290838301560306,5.5769,-38.5883754275,1.09,0.8002085851685942,1.1,48.0,16.2,1.1776629142426704,15.0,1768.0,0.02583,1193.0,100.0,27.0,0.363013698630137,13.0,57.0,1.35,8900.0,0.195,13.54,3.0,63.7,4.0,0.8705943169483304,0.421,1.88,1.0020307150482737,0.5109263345408294,14.5341,7.88101,6.67
LaCrO3,3.298780827902446,141.0,8.0,35.1211,1.52,3.192650649348973,2.43,3.047806024159016,5.5769,-41.5054164625,1.09,0.7760867950974663,1.1,48.0,21.0,1.0431737865948136,16.0,2180.0,0.02658,1193.0,94.0,24.0,0.4555555555555555,13.0,57.0,1.4,7140.0,0.195,17.36,3.0,64.3,4.0,0.6077545478038938,0.449,1.66,0.9751956117127448,0.0628487182749331,13.61805,6.76651,7.23
LaScO3,3.391348597184747,141.0,8.0,35.1211,1.52,3.3121553764733545,2.43,3.1495408944869303,5.5769,-41.10151599,1.09,0.8433638726681897,1.1,48.0,14.1,1.013684903172241,16.0,1814.0,0.02658,1193.0,16.0,21.0,0.5518518518518518,13.0,57.0,1.6,2985.0,0.195,17.36,3.0,18.1,4.0,0.5990997750016548,0.568,1.36,0.91468228019835,0.0576448554116429,13.61805,6.56149,15.0
LiAsO3,3.460230809724888,141.0,8.0,35.1211,1.52,3.2519339481274354,1.82,3.046258891706612,5.391719,-28.52310609,0.912,0.8937954510242856,0.98,59.6,24.44,1.140658462428806,16.0,1090.0,0.02658,453.69,50.0,33.0,0.3407407407407407,85.0,3.0,1.15,5727.0,3.582,17.36,1.0,78.0,1.0,0.835011273046396,0.329,2.18,0.8868134769577142,0.3654717852093556,13.61805,9.7886,12.95
LiNbO3,3.3710315275096003,141.0,8.0,35.1211,1.52,3.2411002207515964,1.82,3.027997130982528,5.391719,-38.587258115,0.912,0.901741233350652,0.98,59.6,30.0,1.015747781918622,16.0,2750.0,0.02658,453.69,54.0,41.0,0.474074074074074,85.0,3.0,1.45,8570.0,3.582,17.36,1.0,86.1,1.0,0.729203461297469,0.265,1.6,0.8065991926097802,0.3557163807239379,13.61805,6.75885,10.83
LiSbO3,3.4961644065054696,141.0,8.0,35.1211,1.52,3.1926834005084546,1.82,3.089451115074972,5.391719,-28.6500243625,0.912,0.8530985762737444,0.98,59.6,19.79,1.0794126301253166,16.0,903.78,0.02658,453.69,24.0,51.0,0.4444444444444444,85.0,3.0,1.45,6697.0,3.582,17.36,1.0,103.2,1.0,0.5314718262632276,0.207,2.05,0.8231448170735706,0.0020087221161498,13.61805,8.60839,18.19
LiTaO3,3.360581036880673,141.0,8.0,35.1211,1.52,3.2281480195889136,1.82,3.0258264677090385,5.391719,-39.2605626516667,0.912,0.9048598961042584,0.98,59.6,36.57,1.0026279661524462,16.0,3290.0,0.02658,453.69,57.0,73.0,0.474074074074074,85.0,3.0,1.45,16650.0,3.582,17.36,1.0,31.0,1.0,0.7216634800119651,0.14,1.5,0.8065991926097802,0.361931438665431,13.61805,7.54957,10.85
MgCO3,3.394961332275484,141.0,8.0,35.1211,1.52,2.811486332255119,1.73,3.072625550071916,7.646235,-35.18296034000001,1.293,0.9422511558926472,1.31,0.0,117.4,0.8299173089002521,16.0,3800.0,0.02658,923.0,140.0,6.0,0.1185185185185185,160.0,12.0,0.7,2267.0,1.023,17.36,2.0,153.9,1.0,0.3335827551222915,0.709,2.55,1.0489531058661368,0.4045296677299577,13.61805,11.2603,5.29
MgSiO3,3.005706690789256,141.0,8.0,35.1211,1.52,3.431557678310463,1.73,3.2078333674695934,7.646235,-33.9551852875,1.293,0.9126675942641856,1.31,0.0,50.21,1.112025420218815,16.0,1687.0,0.02658,923.0,150.0,14.0,0.2962962962962963,160.0,12.0,1.1,2330.0,1.023,17.36,2.0,133.6,1.0,0.9181100399704428,0.712,1.9,0.905096679918781,0.0765455216722676,13.61805,8.15168,12.06
MgTiO3,3.4713798796114537,141.0,8.0,35.1211,1.52,3.2168014007997177,1.73,3.0082604268407787,7.646235,-36.9249649066667,1.293,0.9063139130671924,1.31,0.0,14.15,1.0106279871653252,16.0,1941.0,0.02658,923.0,22.0,22.0,0.4481481481481481,160.0,12.0,1.4,4507.0,1.023,17.36,2.0,7.6,1.0,0.7431253787431894,0.524,1.54,0.8101888439170672,0.3337837495298387,13.61805,6.82812,10.64
NaBiO3,3.9171581376967,141.0,8.0,35.1211,1.52,3.216158073018884,2.27,3.4362402346442726,5.139076,-25.218367471666703,0.869,0.9975712939608736,0.93,52.8,11.106,1.2368206279767944,16.0,544.4,0.02658,370.87,8.0,83.0,0.5629629629629629,140.0,11.0,1.6,9780.0,1.228,17.36,1.0,91.2,1.0,0.2750973864521161,0.122,2.02,0.9182334504507772,0.405122617430029,13.61805,7.2855,21.31
NaCdF3,3.725843741655223,328.0,9.0,34.9708,1.47,3.155205960779308,2.27,3.3260281900869457,5.139076,-19.1581641333333,0.869,1.0277883948315183,0.93,52.8,6.21,1.0547803263134583,17.0,594.22,0.0277,370.87,97.0,48.0,0.7392996108949417,140.0,11.0,1.55,8650.0,1.228,11.2,1.0,0.0,1.0,0.1228383709017894,0.231,1.69,0.8463134853127582,0.4726171910353078,17.4228,8.99382,13.0
NaCoF3,3.334345693082476,328.0,9.0,34.9708,1.47,3.3175884343952986,2.27,3.422467279708594,5.139076,-23.692840365,0.869,0.9372366510973452,0.93,52.8,16.2,1.190863202232305,17.0,1768.0,0.0277,370.87,100.0,27.0,0.5797665369649806,140.0,11.0,1.35,8900.0,1.228,11.2,1.0,63.7,1.0,0.6660876500105787,0.421,1.88,0.9317786402335048,0.1613684097149119,17.4228,7.88101,6.67
NaMgF3,3.232982140205683,328.0,9.0,34.9708,1.47,3.474343942670854,2.27,3.318361706911754,5.139076,-24.035219825,0.869,0.9067448640114082,0.93,52.8,8.48,1.173711946168869,17.0,923.0,0.0277,370.87,160.0,12.0,0.5603112840466926,140.0,11.0,1.5,1738.0,1.228,11.2,1.0,0.0,1.0,0.856184618749419,1.023,1.31,0.9433968277675884,0.1308514161734402,17.4228,7.646235,14.0
NaMnF3,3.3241472728738906,328.0,9.0,34.9708,1.47,3.2917719454117136,2.27,3.112538073558358,5.139076,-27.4931740175,0.869,0.8876872156204257,0.93,52.8,12.91,0.937897389245102,17.0,1519.0,0.0277,370.87,7.8,25.0,0.6459143968871596,140.0,11.0,1.4,7470.0,1.228,11.2,1.0,0.0,1.0,0.5762253682909384,0.479,1.55,0.8943312717134821,0.0610944747596873,17.4228,7.43402,7.35
NaNbO3,3.433826515288835,141.0,8.0,35.1211,1.52,3.332376084426129,2.27,3.1618334627972104,5.139076,-37.7408969283333,0.869,0.8520579337853992,0.93,52.8,30.0,1.1101369296891566,16.0,2750.0,0.02658,370.87,54.0,41.0,0.474074074074074,140.0,11.0,1.45,8570.0,1.228,17.36,1.0,86.1,1.0,0.7368288645232636,0.265,1.6,0.9736043117844924,0.1273979043699307,13.61805,6.75885,10.83
NaSbO3,3.803119416433269,141.0,8.0,35.1211,1.52,3.141929357245988,2.27,3.363844917551716,5.139076,-27.8220007833333,0.869,0.947640515109058,0.93,52.8,19.79,1.3019600318209936,16.0,903.78,0.02658,370.87,24.0,51.0,0.4444444444444444,140.0,11.0,1.45,6697.0,1.228,17.36,1.0,103.2,1.0,0.3701704044216234,0.207,2.05,0.993575682282636,0.3955082371558348,13.61805,8.60839,18.19
RbAuBr3,4.696130027432551,324.6,35.0,21.591,1.85,4.263065748726646,3.03,3.7438106660223625,4.177128,-12.808423090000002,0.706,0.0938696516281955,0.82,46.9,12.55,0.4535217198737396,17.0,1337.33,0.12,312.46,320.0,79.0,0.5663265306122449,58.0,37.0,1.35,19300.0,0.363,19.78,1.0,222.8,1.0,0.4672006692576012,0.129,2.54,0.8476068256568385,0.170382954072121,11.8138,9.22553,10.21
