Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Sr,38,87.62,2,5.69485,11.0301,5.03,0.95,0.963,2.49,195,2.0,1.42,1.79,0.633,1050.0,1655.0,2630.0,33.94,7.43,137.0,35.0,0.306,1,15,0.28,,,2.25E-05,1.32,0.0,-0.08697213
Ta,73,180.94788,5,7.54957,15.0,31,1.5,0.67,2.22,170,1.45,1.25,1.54,0.605,3290.0,5731.0,16650.0,10.85,36.57,735.0,57.0,0.14,3,52,0.34,200.0,186.0,6.3E-06,0.82,0.0,-2.22694803
Tb,65,158.92535,3,5.8638,11.52,50,1.1,1.92,2.33,194,1.75,,,,1629.0,3503.0,8219.0,19.3,10.15,295.0,11.0,0.182,4,26,0.26,38.7,56.0,1.03E-05,0.9815,0.0,-0.09073228
Tc,43,98.0,7,7.28,15.26,53,1.9,1.51,2.16,147,1.35,1.16,1.49,0.455,2430.0,4538.0,11500.0,8.63,33.29,550.0,51.0,0.21,3,59,,,,,0.741666666666667,0.0,-0.33337496
Te,52,127.6,16,9.0096,18.6,190.2,2.1,2.158,2.06,138,1.4,0.79,0.88,0.325,722.66,1261.0,6240.0,20.46,17.38,48.0,3.0,0.202,2,92,,65.0,43.0,,0.905,2.07,
Th,90,232.03806,3,6.3067,11.9,58.63,1.3,,2.45,206,1.8,,,,2115.0,5093.0,11724.0,19.8,13.81,530.0,54.0,0.118,4,47,0.27,54.0,79.0,1.1E-05,1.08,0.0,-0.57428629
Ti,22,47.867,4,6.82812,13.5755,7.6,1.54,1.38,2.11,160,1.4,1.15,1.43,0.28,1941.0,3560.0,4507.0,10.64,14.15,425.0,22.0,0.524,3,51,0.32,110.0,116.0,8.6E-06,0.851666666666667,0.0,-1.26711668
Tl,81,204.3833,13,6.108194,20.4283,19.2,1.62,,1.96,145,1.9,1.015,1.22,0.463,577.0,1746.0,11850.0,17.22,4.142,165.0,46.0,0.129,2,78,0.45,43.0,8.0,2.99E-05,1.3325,0.0,-0.04709744
Tm,69,168.93421,3,6.18431,12.05,50,1.25,2.01,2.27,190,1.75,,,,1818.0,2223.0,9321.0,19.1,16.84,250.0,17.0,0.16,4,21,0.21,45.0,74.0,1.33E-05,1.095,0.0,-0.08233211
U,92,238.02891,3,6.1941,10.6,30.39,1.38,,2.41,196,1.75,,,,1405.3,4200.0,19050.0,12.49,9.14,420.0,27.0,0.116,4,45,0.23,100.0,208.0,1.39E-05,0.99125,0.0,-2.77502239
V,23,50.9415,5,6.74619,14.618,50.6,1.63,1.53,2.07,153,1.35,1.09,1.34,0.26,2183.0,3680.0,6110.0,8.32,21.5,453.0,31.0,0.489,3,54,0.37,160.0,128.0,8.4E-06,0.7775,0.0,-0.89039254
W,74,183.84,6,7.86403,16.1,78.6,2.36,0.89,2.18,162,1.35,1.22,1.515,0.59,3695.0,5828.0,19250.0,9.47,52.31,800.0,170.0,0.132,3,55,0.28,310.0,411.0,4.5E-06,0.766666666666667,0.0,-1.68434609
Y,39,88.90585,3,6.2173,12.224,29.6,1.22,1.12,2.32,190,1.8,1.32,1.62,0.58,1799.0,3609.0,4472.0,19.88,11.39,380.0,17.0,0.298,3,25,0.24,41.0,64.0,1.06E-05,1.04,0.0,-0.02955801
Yb,70,173.04,3,6.25416,12.176,50,1.1,2.19,2.26,187,1.75,,,,1097.0,1469.0,6570.0,24.84,7.66,160.0,39.0,0.155,4,17,0.21,31.0,24.0,2.63E-05,1.084,0.0,-0.02955801
Zn,30,65.409,12,9.394199,17.96439,0,1.65,1.59,2.01,122,1.35,0.82,1.06,0.175,692.68,1180.0,7140.0,9.16,7.068,119.0,120.0,0.388,3,76,0.25,70.0,108.0,3.02E-05,0.88,0.0,-0.0124824
Zr,40,91.224,4,6.6339,13.1,41.1,1.33,1.32,2.23,175,1.55,1.265,1.56,0.54,2128.0,4682.0,6511.0,14.02,21.0,580.0,23.0,0.278,3,49,0.34,,68.0,5.7E-06,0.86,0.0,-1.35248989
