material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP,s_A,s_B,s_X
mp-802021,AlVO3,Al,V,O,P1,2.083372569625,-227.18599056,40,3.88327310152887,0.535,0.64,1.42
mp-1183128,AlVO3,Al,V,O,Pm-3m,0.709336499625001,-35.22829334,5,4.33377992712299,0.535,0.64,1.42
mp-1384488,AlVO3,Al,V,O,P6_3/mmc,0.327603013625001,-72.44701302,10,3.96596744078582,0.535,0.64,1.42
mp-756082,AlVO3,Al,V,O,Pnma,0.0864430801250009,-160.49284486,20,4.58359959937823,0.535,0.64,1.42
mp-1246403,AlWN3,Al,W,N,P-1,0.320594918999999,-175.25550393,20,4.97785320591037,0.535,0.6,1.46
mp-1417649,AlWO3,Al,W,O,Pm-3m,1.17843927125,-32.30526818,5,6.53933783109774,0.535,0.66,1.42
mp-1400236,AlWO3,Al,W,O,P6_3/mmc,0.736896008249996,-69.02597247,10,7.15887361222385,0.535,0.66,1.42
mp-1251647,AlWO3,Al,W,O,P6_3cm,0.548133606583329,-212.74979595,30,7.90580201471594,0.535,0.66,1.42
mp-1046804,AlWO3,Al,W,O,Pnma,0.285851663249996,-147.06862806,20,6.8419396199401,0.535,0.66,1.42
mp-755240,AsAuO3,As,Au,O,C2/c,0.117542796166668,-104.28875677,20,6.17325327621264,0.58,0.85,1.42
mp-27274,AsCF3,As,C,F,P4_2/nmc,0.49251551625,-205.21668596,40,2.56775650807442,0.58,0.16,1.33
mp-1183283,BaAlO3,Ba,Al,O,Pm-3m,0.16936120075,-32.92458761,5,5.69066597279541,1.61,0.535,1.42
mp-1183287,BaAuO3,Ba,Au,O,Pm-3m,0.198319594999998,-25.21885709,5,8.4972478325448,1.61,0.85,1.42
mp-1183282,BaBeO3,Ba,Be,O,Pm-3m,0.517310855,-28.56285063,5,5.46499281752327,1.61,0.45,1.42
mp-545783,BaBiO3,Ba,Bi,O,Pm-3m,0.0212110020000003,-59.27378393,5,7.5409484397547,1.61,1.03,1.42
mp-644369,BaBiO3,Ba,Bi,O,P1,0.946954908,-52.65536289,10,6.74252943574575,1.61,1.03,1.42
mp-1227955,BaBiO3,Ba,Bi,O,R32,0.022849194,-29.62019461,5,7.49841088053666,1.61,1.03,1.42
mp-23438,BaBiO3,Ba,Bi,O,Fm-3m,0.024886167,-59.27040981,10,7.54500266341285,1.61,1.03,1.42
mp-559051,BaBiO3,Ba,Bi,O,P2_1/c,0.0,-119.03572385,20,7.5826937644321,1.61,1.03,1.42
mp-22942,BaBiO3,Ba,Bi,O,C2/m,7.23339999995076e-05,-59.50596374,10,7.58164112741181,1.61,1.03,1.42
mp-23482,BaBiO3,Ba,Bi,O,R-3,0.0014100429999999,-59.49321443,10,7.59541668152737,1.61,1.03,1.42
