Name,X_EA,mean_A2B,X_Z,X_Rvdw,X_IEII,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,B_Hf,X_G,A_EA,std_A2X,A_ChiP,B_MP,std_B2X,OF,A_MP,B_Z,X_Kappa,A_Kappa,B_Kappa,B_Ra,A_Z,B_Rho,X_MV,A_CvM,A_G,B_EA,B_CvM,TF,std_X2X,A_B,std_A2B,B_ChiP,X_IEI,B_MV,B_IEI
InGaO3,141.0,3.63106162830822,8.0,1.52,35.1211,3.5992668146287485,1.93,2.643705335252507,5.78636,-28.38383331,1.656,5.585,16.0,28.9,0.4153891582140835,1.78,302.91,1.267167593690299,0.4592592592592592,429.75,31.0,0.02658,82.0,29.0,1.3,49.0,5904.0,17.36,0.233,13.0,28.9,0.373,0.8147880169002348,0.797759026058003,2.0,0.0,1.81,13.61805,11.8,5.999301
KCaBr3,324.6,4.760687525931628,35.0,1.85,21.591,4.274974204427614,2.75,3.733854658762723,4.3406633,-17.07937964,0.734,8.54,17.0,48.4,0.4573374391358463,0.82,1115.0,0.0186253987306681,0.6836734693877552,336.53,20.0,0.12,100.0,200.0,1.8,19.0,1550.0,19.78,0.757,1.0,2.37,0.647,0.77138921583987,0.2708010474314588,1.0,0.1924624761925853,1.0,11.8138,26.2,6.11316
KMgF3,328.0,3.5101925239930547,9.0,1.47,34.9708,2.866060194238394,2.75,2.866060194238394,4.3406633,-24.16707869,0.734,8.48,17.0,48.4,0.0,0.82,923.0,0.0,0.5603112840466926,336.53,12.0,0.0277,100.0,160.0,1.5,19.0,1738.0,11.2,0.757,1.0,0.0,1.023,1.0315647555963348,0.0,1.0,0.0,1.31,17.4228,14.0,7.646235
KMgH3,72.8,3.48187888854885,1.0,1.1,,2.8429422077045667,2.75,2.8429422077045667,4.3406633,-13.65108557,0.734,8.48,1.0,48.4,0.0,0.82,923.0,0.0,0.5538461538461538,336.53,12.0,0.1805,100.0,160.0,1.5,19.0,1738.0,11.42,0.757,1.0,0.0,1.023,1.0291554142022028,0.0,1.0,0.0,1.31,13.598443,14.0,7.646235
KNbO3,141.0,3.4879817420507093,8.0,1.52,35.1211,3.162866598613259,2.75,2.875663140805176,4.3406633,-37.39370056999999,0.734,30.0,16.0,48.4,0.0788937248380693,0.82,2750.0,1.1075120114612125,0.474074074074074,336.53,41.0,0.02658,100.0,54.0,1.45,19.0,8570.0,17.36,0.757,1.0,86.1,0.265,1.0624368219838074,0.5192636682359718,1.0,0.0460159080242816,1.6,13.61805,10.83,6.75885
KSbO3,141.0,4.150302097901793,8.0,1.52,35.1211,3.453384467199337,2.75,3.30471224726176,4.3406633,-27.364688415,0.734,19.79,16.0,48.4,0.746552958177864,0.82,903.78,0.0087238848579355,0.4444444444444444,336.53,51.0,0.02658,100.0,24.0,1.45,19.0,6697.0,17.36,0.757,1.0,103.2,0.207,1.0842303978193728,0.6993154717898551,1.0,0.3967210839083221,2.05,13.61805,18.19,8.60839
KTaO3,141.0,3.4866949766651887,8.0,1.52,35.1211,2.846874527185004,2.75,2.846874527185004,4.3406633,-38.12573855,0.734,36.57,16.0,48.4,0.0,0.82,3290.0,0.0,0.474074074074074,336.53,73.0,0.02658,100.0,57.0,1.45,19.0,16650.0,17.36,0.757,1.0,31.0,0.14,1.0624368219838074,0.0,1.0,0.0,1.5,13.61805,10.85,7.54957
KZnF3,328.0,3.578341692014702,9.0,1.47,34.9708,2.921703756921138,2.75,2.921703756921138,4.3406633,-20.29370065,0.734,7.068,17.0,48.4,0.0,0.82,692.68,0.0,0.575875486381323,336.53,30.0,0.0277,100.0,120.0,1.35,19.0,7140.0,11.2,0.757,1.0,0.0,0.388,1.0213764617139018,0.0,1.0,0.0,1.65,17.4228,9.16,9.394199
LaAlO3,141.0,3.304057586370329,8.0,1.52,35.1211,3.5043673191221134,2.43,3.448294513623481,5.5769,-39.0343504716667,1.09,10.71,16.0,48.0,1.0001519111189976,1.1,933.47,1.105863147878372,0.3962962962962963,1193.0,13.0,0.02658,13.0,235.0,1.25,57.0,2700.0,17.36,0.195,3.0,42.5,0.897,1.016583223880925,0.8815192004864317,4.0,0.0074478367153815,1.61,13.61805,10.0,5.985768
LaCoN3,7.0,3.5757179944759527,7.0,1.55,29.6013,3.352581112796559,2.43,3.5290838301560306,5.5769,-38.5883754275,1.09,16.2,15.0,48.0,0.8002085851685942,1.1,1768.0,1.1776629142426704,0.363013698630137,1193.0,27.0,0.02583,13.0,100.0,1.35,57.0,8900.0,13.54,0.195,3.0,63.7,0.421,1.0020307150482737,0.8705943169483304,4.0,0.5109263345408294,1.88,14.5341,6.67,7.88101
