material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-5470,AgPS3,200.0,1.8,16.0,3.683204134200879,16.0,23.33788,3.565868053054753,2.11,1.87,7.57623,15.0,18.54,1.0,3.1484048509835363,1.0118652781734954,0.2065217391304347,125.6,0.7641409472570588,1823.0,-21.026998045,1.93,0.769,317.3,107.0,0.9937716924783908,1.8,1234.93,0.3208449315337702,430.0,15.53
mp-776168,AgRuO3,141.0,1.52,8.0,3.980857226160341,16.0,35.1211,3.121293161204858,2.11,1.87,7.57623,44.0,38.59,1.3,3.3303355298648194,0.8994289087486242,0.3978873239436619,125.6,0.7685681202521198,12370.0,-28.980153,1.93,0.238,2607.0,146.0,0.961807712445178,2.13,1234.93,0.6200923886020081,430.0,17.36
mp-540872,AgSbO3,141.0,1.52,8.0,4.07346042399306,16.0,35.1211,3.220218407733957,2.11,1.87,7.57623,51.0,19.79,1.45,3.396761476223965,0.9307628776992052,0.4225352112676056,125.6,0.8052387606928177,6697.0,-26.448343047500003,1.93,0.207,903.78,139.0,0.9451427273285536,2.06,1234.93,0.6448575299318944,430.0,17.36
mp-860791,AgSbO3,141.0,1.52,8.0,3.723173978167496,16.0,35.1211,3.576589743211372,2.11,1.87,7.57623,51.0,19.79,1.45,3.733175242175335,1.0237232564814889,0.4225352112676056,125.6,0.9026053490277722,6697.0,-26.2670378333333,1.93,0.207,903.78,139.0,0.9451427273285536,2.06,1234.93,0.7629194157028074,430.0,17.36
mp-677054,AgSbO3,141.0,1.52,8.0,4.403687077574487,16.0,35.1211,3.605651972822544,2.11,1.87,7.57623,51.0,19.79,1.45,3.881078104936325,1.0507953075171197,0.4225352112676056,125.6,0.8797414145062455,6697.0,-26.186425115833305,1.93,0.207,903.78,139.0,0.9451427273285536,2.06,1234.93,0.7824869344842609,430.0,17.36
mp-545999,AgSbO3,141.0,1.52,8.0,3.675374335430383,16.0,35.1211,2.8983525112486985,2.11,1.87,7.57623,51.0,19.79,1.45,2.5811093560235867,0.0099705940214284,0.4225352112676056,125.6,0.161220067750592,6697.0,-26.48625662,1.93,0.207,903.78,139.0,0.9451427273285536,2.06,1234.93,0.1825833508191693,430.0,17.36
mp-755834,AgSnO3,141.0,1.52,8.0,3.685064051706005,16.0,35.1211,2.9680655174878,2.11,1.87,7.57623,50.0,7.15,1.45,2.64421866962013,0.8888542222603922,0.5704225352112676,125.6,0.619361783383738,7310.0,-25.971642295,1.93,0.227,505.08,139.0,0.7483282527355389,2.17,1234.93,0.244209422476543,430.0,17.36
mp-1404877,AlAgO3,141.0,1.52,8.0,3.5002713794897256,16.0,35.1211,3.475229981019395,1.84,1.613,5.985768,47.0,11.3,1.6,2.507225553019622,1.037377875086455,0.5281690140845071,42.5,0.3875581969803779,10490.0,-25.91411703,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.7232226238845729,235.0,17.36
mp-1183169,AlAgO3,141.0,1.52,8.0,3.248478885451398,16.0,35.1211,2.652371903186977,1.84,1.613,5.985768,47.0,11.3,1.6,1.87551015897218,0.0,0.5281690140845071,42.5,0.0,10490.0,-26.83200119,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.0,235.0,17.36
mp-1253488,AlAgO3,141.0,1.52,8.0,3.250788765447888,16.0,35.1211,3.3046206687933037,1.84,1.613,5.985768,47.0,11.3,1.6,2.9725412265386986,1.0120629687011735,0.5281690140845071,42.5,1.013495881233832,10490.0,-27.7996844225,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.5089993527035545,235.0,17.36
mp-1343733,AlAgO3,141.0,1.52,8.0,3.2761375831795525,16.0,35.1211,3.236932263069672,1.84,1.613,5.985768,47.0,11.3,1.6,3.0038921002614245,0.9056241967767664,0.5281690140845071,42.5,1.032576840630372,10490.0,-27.69771264,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.4911179272444101,235.0,17.36
mp-1343327,AlAgO3,141.0,1.52,8.0,3.37966494832008,16.0,35.1211,3.4051709648733146,1.84,1.613,5.985768,47.0,11.3,1.6,3.222250934740128,0.91630559069228,0.5281690140845071,42.5,1.2156643722139924,10490.0,-27.1140760433333,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.8028479762212182,235.0,17.36
mp-1418444,AlAgO3,141.0,1.52,8.0,3.467329291817659,16.0,35.1211,2.831062511719672,1.84,1.613,5.985768,47.0,11.3,1.6,2.831062511719672,0.0,0.5281690140845071,42.5,0.0,10490.0,-20.26389378,1.61,0.235,1234.93,145.0,0.6370478143869588,2.11,933.47,0.0,235.0,17.36
mp-1183159,AlAuO3,141.0,1.52,8.0,3.257400557394757,16.0,35.1211,2.659656417824888,1.84,1.613,5.985768,79.0,12.55,1.35,1.8806610886703,0.0,0.5985915492957746,42.5,0.0,19300.0,-26.44325179,1.61,0.129,1337.33,136.0,0.6089840340174891,2.14,933.47,0.0,235.0,17.36
mp-1376082,AlBiO3,141.0,1.52,8.0,3.6330561737265423,16.0,35.1211,3.2521058070855675,1.84,1.613,5.985768,83.0,11.106,1.6,2.801922219553395,0.8939585711257702,0.7253521126760564,42.5,0.9010463789813252,9780.0,-30.1846400016667,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.5373899624236758,235.0,17.36
mp-23080,AlBiO3,141.0,1.52,8.0,3.279805892630604,16.0,35.1211,2.6779502974394966,1.84,1.613,5.985768,83.0,11.106,1.6,1.893596815,0.0,0.7253521126760564,42.5,0.0,9780.0,-32.16496227,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.0,235.0,17.36
