Name,A_site,B_site,X_site
EuCoO3,Eu,Co,O
EuCrO3,Eu,Cr,O
EuCuO3,Eu,Cu,O
EuErO3,Eu,Er,O
EuFeO3,Eu,Fe,O
EuGaO3,Eu,Ga,O
EuGeO3,Eu,Ge,O
EuGeS3,Eu,Ge,S
EuPdH3,Eu,Pd,H
EuHfO3,Eu,Hf,O
EuHfS3,Eu,Hf,S
EuInO3,Eu,In,O
EuIrO3,Eu,Ir,O
EuLuO3,Eu,Lu,O
EuMgO3,Eu,Mg,O
EuMnO3,Eu,Mn,O
EuMoO3,Eu,Mo,O
EuNbO3,Eu,Nb,O
EuNiO3,Eu,Ni,O
EuNpO3,Eu,Np,O
EuOsO3,Eu,Os,O
EuPbO3,Eu,Pb,O
EuPdO3,Eu,Pd,O
EuPS3,Eu,P,S
EuPSe3,Eu,P,Se
EuPtO3,Eu,Pt,O
EuReO3,Eu,Re,O
EuRhO3,Eu,Rh,O
EuRuO3,Eu,Ru,O
EuSbO3,Eu,Sb,O
EuScO3,Eu,Sc,O
EuSeO3,Eu,Se,O
EuSiO3,Eu,Si,O
EuSnO3,Eu,Sn,O
EuTcO3,Eu,Tc,O
EuTiO3,Eu,Ti,O
EuTmO3,Eu,Tm,O
EuUO3,Eu,U,O
EuVO3,Eu,V,O
EuWO3,Eu,W,O
EuZrO3,Eu,Zr,O
EuZrS3,Eu,Zr,S
EuZrSe3,Eu,Zr,Se
FeAgO3,Fe,Ag,O
FeAsO3,Fe,As,O
FeBiO3,Fe,Bi,O
FeBO3,Fe,B,O
FeCO3,Fe,C,O
FeGeO3,Fe,Ge,O
FeGeS3,Fe,Ge,S
FeNiO3,Fe,Ni,O
FePbO3,Fe,Pb,O
FePS3,Fe,P,S
FePSe3,Fe,P,Se
FeRhO3,Fe,Rh,O
FeSiO3,Fe,Si,O
FeSnO3,Fe,Sn,O
FeSO3,Fe,S,O
GaBiO3,Ga,Bi,O
GaBO3,Ga,B,O
GaCuBr3,Ga,Cu,Br
GaFeO3,Ga,Fe,O
GaGeO3,Ga,Ge,O
GaMoN3,Ga,Mo,N
GaNiO3,Ga,Ni,O
GaSiO3,Ga,Si,O
GaSnO3,Ga,Sn,O
GdAlO3,Gd,Al,O
GdAsO3,Gd,As,O
GdBeO3,Gd,Be,O
GdBO3,Gd,B,O
GdCdO3,Gd,Cd,O
GdCoO3,Gd,Co,O
GdCrO3,Gd,Cr,O
GdCuO3,Gd,Cu,O
GdErO3,Gd,Er,O
GdFeO3,Gd,Fe,O
GdGaO3,Gd,Ga,O
GdInO3,Gd,In,O
GdLuO3,Gd,Lu,O
GdMnO3,Gd,Mn,O
GdNiO3,Gd,Ni,O
GdRhO3,Gd,Rh,O
GdScO3,Gd,Sc,O
GdScS3,Gd,Sc,S
GdSiO3,Gd,Si,O
GdThO3,Gd,Th,O
GdTiO3,Gd,Ti,O
GdTmO3,Gd,Tm,O
GdVO3,Gd,V,O
GdZrO3,Gd,Zr,O
GeBiO3,Ge,Bi,O
GeBO3,Ge,B,O
GeClH3,Ge,Cl,H
GePbO3,Ge,Pb,O
GePbS3,Ge,Pb,S
GePdO3,Ge,Pd,O
GePdS3,Ge,Pd,S
CBrH3,C,Br,H
CClH3,C,Cl,H
CIH3,C,I,H
CSH3,C,S,H
CSeH3,C,Se,H
HfBeO3,Hf,Be,O
HfBO3,Hf,B,O
HfCdO3,Hf,Cd,O
HfCoO3,Hf,Co,O
HfCrO3,Hf,Cr,O
HfFeO3,Hf,Fe,O
HfMgO3,Hf,Mg,O
HfMnO3,Hf,Mn,O
HfNiO3,Hf,Ni,O
HfNpO3,Hf,Np,O
HfPbO3,Hf,Pb,O
HfPbS3,Hf,Pb,S
HfSnO3,Hf,Sn,O
HfSnS3,Hf,Sn,S
HfThO3,Hf,Th,O
HfZnO3,Hf,Zn,O
HoAlO3,Ho,Al,O
HoBeO3,Ho,Be,O
HoBiO3,Ho,Bi,O
HoBO3,Ho,B,O
HoCoO3,Ho,Co,O
HoCrO3,Ho,Cr,O
HoCuO3,Ho,Cu,O
HoErO3,Ho,Er,O
HoFeO3,Ho,Fe,O
HoGaO3,Ho,Ga,O
HoGeO3,Ho,Ge,O
HoInO3,Ho,In,O
HoLuO3,Ho,Lu,O
HoMgS3,Ho,Mg,S
HoMgSe3,Ho,Mg,Se
HoMnO3,Ho,Mn,O
HoNiO3,Ho,Ni,O
HoRhO3,Ho,Rh,O
HoSbO3,Ho,Sb,O
HoScO3,Ho,Sc,O
HoSiO3,Ho,Si,O
HoSnO3,Ho,Sn,O
HoTiO3,Ho,Ti,O
HoTmO3,Ho,Tm,O
HoVO3,Ho,V,O
InAsO3,In,As,O
InBiO3,In,Bi,O
InBiS3,In,Bi,S
InBiSe3,In,Bi,Se
InBO3,In,B,O
InCoO3,In,Co,O
InCuO3,In,Cu,O
InFeBr3,In,Fe,Br
InFeO3,In,Fe,O
InGaO3,In,Ga,O
InGaS3,In,Ga,S
InGaSe3,In,Ga,Se
InGeCl3,In,Ge,Cl
InOsO3,In,Os,O
InPbCl3,In,Pb,Cl
InPF3,In,P,F
InPtO3,In,Pt,O
InRhO3,In,Rh,O
InSbO3,In,Sb,O
InSbS3,In,Sb,S
InSbSe3,In,Sb,Se
InSiO3,In,Si,O
InSnBr3,In,Sn,Br
InSnCl3,In,Sn,Cl
KAcO3,K,Ac,O
KAgBr3,K,Ag,Br
KAgCl3,K,Ag,Cl
KAgF3,K,Ag,F
