Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
ZnCuO3,Zn,Cu,O,2.0,0.9,,,1.42,-2
AcFeO3,Ac,Fe,O,3.0,1.12,,,1.42,-2
AlFeO3,Al,Fe,O,3.0,0.535,,,1.42,-2
BaFeO3,Ba,Fe,O,2.0,1.61,,,1.42,-2
CaFeO3,Ca,Fe,O,2.0,1.34,,,1.42,-2
CdFeO3,Cd,Fe,O,2.0,1.31,,,1.42,-2
CeFeO3,Ce,Fe,O,,,,,1.42,-2
CrFeO3,Cr,Fe,O,,,,,1.42,-2
DyFeO3,Dy,Fe,O,,,,,1.42,-2
ErFeO3,Er,Fe,O,3.0,1.062,,,1.42,-2
EuFeO3,Eu,Fe,O,,,,,1.42,-2
GaFeO3,Ga,Fe,O,3.0,0.62,,,1.42,-2
GdFeO3,Gd,Fe,O,3.0,1.107,,,1.42,-2
HfFeO3,Hf,Fe,O,4.0,0.83,,,1.42,-2
HoFeO3,Ho,Fe,O,3.0,1.12,,,1.42,-2
InFeO3,In,Fe,O,3.0,0.92,,,1.42,-2
KFeO3,K,Fe,O,1.0,1.64,,,1.42,-2
LaFeO3,La,Fe,O,3.0,1.36,,,1.42,-2
LiFeO3,Li,Fe,O,1.0,0.92,,,1.42,-2
LuFeO3,Lu,Fe,O,3.0,1.032,,,1.42,-2
MgFeO3,Mg,Fe,O,2.0,0.89,,,1.42,-2
MnFeO3,Mn,Fe,O,,,,,1.42,-2
NaFeO3,Na,Fe,O,1.0,1.39,,,1.42,-2
NbFeO3,Nb,Fe,O,,,,,1.42,-2
NdFeO3,Nd,Fe,O,,,,,1.42,-2
PrFeO3,Pr,Fe,O,,,,,1.42,-2
RbFeO3,Rb,Fe,O,1.0,1.72,,,1.42,-2
ScFeO3,Sc,Fe,O,3.0,0.87,,,1.42,-2
SmFeO3,Sm,Fe,O,,,,,1.42,-2
SrFeO3,Sr,Fe,O,2.0,1.44,,,1.42,-2
TaFeO3,Ta,Fe,O,,,,,1.42,-2
TbFeO3,Tb,Fe,O,,,,,1.42,-2
TiFeO3,Ti,Fe,O,,,,,1.42,-2
TlFeO3,Tl,Fe,O,,,,,1.42,-2
TmFeO3,Tm,Fe,O,,,,,1.42,-2
YFeO3,Y,Fe,O,3.0,1.075,,,1.42,-2
YbFeO3,Yb,Fe,O,,,,,1.42,-2
ZnFeO3,Zn,Fe,O,2.0,0.9,,,1.42,-2
AcGaO3,Ac,Ga,O,3.0,1.12,3.0,0.62,1.42,-2
AlGaO3,Al,Ga,O,3.0,0.535,3.0,0.62,1.42,-2
BeGaO3,Be,Ga,O,2.0,0.45,3.0,0.62,1.42,-2
CeGaO3,Ce,Ga,O,,,3.0,0.62,1.42,-2
DyGaO3,Dy,Ga,O,,,3.0,0.62,1.42,-2
ErGaO3,Er,Ga,O,3.0,1.062,3.0,0.62,1.42,-2
EuGaO3,Eu,Ga,O,,,3.0,0.62,1.42,-2
GdGaO3,Gd,Ga,O,3.0,1.107,3.0,0.62,1.42,-2
HoGaO3,Ho,Ga,O,3.0,1.12,3.0,0.62,1.42,-2
InGaO3,In,Ga,O,3.0,0.92,3.0,0.62,1.42,-2
LaGaO3,La,Ga,O,3.0,1.36,3.0,0.62,1.42,-2
LuGaO3,Lu,Ga,O,3.0,1.032,3.0,0.62,1.42,-2
MnGaO3,Mn,Ga,O,,,3.0,0.62,1.42,-2
NdGaO3,Nd,Ga,O,,,3.0,0.62,1.42,-2
PrGaO3,Pr,Ga,O,,,3.0,0.62,1.42,-2
PuGaO3,Pu,Ga,O,,,3.0,0.62,1.42,-2
ScGaO3,Sc,Ga,O,3.0,0.87,3.0,0.62,1.42,-2
SmGaO3,Sm,Ga,O,,,3.0,0.62,1.42,-2
TbGaO3,Tb,Ga,O,,,3.0,0.62,1.42,-2
TlGaO3,Tl,Ga,O,,,3.0,0.62,1.42,-2
TmGaO3,Tm,Ga,O,,,3.0,0.62,1.42,-2
VGaO3,V,Ga,O,,,3.0,0.62,1.42,-2
YGaO3,Y,Ga,O,3.0,1.075,3.0,0.62,1.42,-2
YbGaO3,Yb,Ga,O,,,3.0,0.62,1.42,-2
ZnGaO3,Zn,Ga,O,2.0,0.9,3.0,0.62,1.42,-2
AcMgO3,Ac,Mg,O,3.0,1.12,2.0,0.89,1.42,-2
CaMgO3,Ca,Mg,O,2.0,1.34,2.0,0.89,1.42,-2
CsMgO3,Cs,Mg,O,1.0,1.88,2.0,0.89,1.42,-2
EuMgO3,Eu,Mg,O,,,2.0,0.89,1.42,-2
HfMgO3,Hf,Mg,O,4.0,0.83,2.0,0.89,1.42,-2
KMgO3,K,Mg,O,1.0,1.64,2.0,0.89,1.42,-2
LaMgO3,La,Mg,O,3.0,1.36,2.0,0.89,1.42,-2
LiMgO3,Li,Mg,O,1.0,0.92,2.0,0.89,1.42,-2
